"countryOnly","country","N_+75%","mean_+75%","median_+75%","sd_+75%","iqr_+75%","OPcov_+75%","OPcovNoWeights_+75%","indAlloc_+75%","outliersOut","N_0-50%","mean_0-50%","median_0-50%","sd_0-50%","iqr_0-50%","OPcov_0-50%","OPcovNoWeights_0-50%","indAlloc_0-50%","N_50-75%","mean_50-75%","median_50-75%","sd_50-75%","iqr_50-75%","OPcov_50-75%","OPcovNoWeights_50-75%","indAlloc_50-75%","yearOnly","region","countryDes","incomeLevel"
"Myanmar","Myanmar2014",265,10639.4497386889,6596.08045080291,10264.9174644975,10537.2385201577,-2403.71562051268,-3783.42428778151,3.33333333333333,20,18,2673.8178543312,2431.51186810247,1428.63196801634,1772.69662115329,581.172439175767,581.172439175767,1.14,NA,NA,NA,NA,NA,NA,NA,NA,"2014","East Asia and Pacific","Myanmar","Lower middle income"
"Namibia","Namibia2014",57,28316.9591852826,4851.67917120248,44255.7662581982,70916.2283908606,47834.1910932472,60406.5712646532,0.936191500943618,13,17,6297.26761080304,6327.49447640795,6040.6248935435,7261.80855758268,6810.89203930535,8487.22753377349,0.0632911392405064,NA,NA,NA,NA,NA,NA,NA,NA,"2014","Sub-Saharan Africa","Namibia","Upper middle income"
"Nepal","Nepal2013",183,7601.62346575867,4653.37416487886,7126.4904929508,5621.39560358829,1563.49035372506,3309.80769375979,1.11341386357947,49,6,82158.1245936127,40596.8319241073,121182.556591687,80136.3243190903,7718.76650232592,6689.3147772255,0.983229782316653,2,6555.9003170882,6555.9003170882,3224.39402784992,4559.98176462017,1254.87870266679,1254.87870266679,2.22413793103448,"2013","South Asia","Nepal","Low income"
"Nicaragua","Nicaragua2010",102,9861.47561868177,6128.28449325786,10768.4845527356,10390.896675451,5562.05427464941,1586.08077678717,0.639271198856838,9,14,43761.2051136625,10061.8245426935,45850.4094083297,77071.4122707985,4752.02523674066,13784.3204703821,2.37651882979177,3,16764.7217234618,17186.0102262567,6267.40726453785,6330.73005755505,-3780.87118279821,-1932.80842158843,0.472734338999611,"2010","Latin America and Caribbean","Nicaragua","Lower middle income"
"Nigeria","Nigeria2014",640,1321.57587979122,694.804667998577,1607.80839944404,1746.93745096785,-76.7862172161273,-49.8694105228964,0.9,142,265,660.578071907444,319.699281878102,984.104367921709,607.763204095458,9.30290104387125,70.1056692615112,0.6,35,1858.41644392146,964.655417604833,2152.77699926436,3366.13441639062,-1123.48514204683,-1309.62477090054,0.795560437067306,"2014","Sub-Saharan Africa","Nigeria","Lower middle income"
"Pakistan","Pakistan2013",454,19570.4704112661,6362.78256736849,32008.8021388892,18664.1621976143,5321.51041336482,289.952286273443,0.490769130637431,38,25,19889.5486390889,15022.6173447669,23175.8159622532,31706.6521220352,11879.0164944467,13410.6043400555,1.65533572713701,12,143123.344611249,38214.8296323816,211996.889170201,288507.468158402,-91097.0674650339,-36613.6726016997,1.67780015171596,"2013","South Asia","Pakistan","Lower middle income"
"Panama","Panama2010",46,11973.4145680211,9281.85201344887,10100.6693828747,8629.77346278317,5984.53086229221,4801.89744377209,1.18252027077009,18,4,81051.3813502697,83651.5002822309,69525.836646255,154462.585034014,39481.1413337526,62898.6403298471,3.35436194888605,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Panama","Upper middle income"
"Paraguay","Paraguay2010",119,25491.9947098277,20139.3982012161,19675.3023547457,20871.7399539876,7446.93943559477,7148.65015030492,2,15,15,72084.1363156685,45506.1443298444,77965.7271902316,87501.1080428365,-3750.8611568766,-3899.34487987846,1.20216387835685,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Paraguay","Upper middle income"
"Peru","Peru2010",566,28901.6696389315,22986.2236537827,22741.6535055662,23521.4905604329,15211.1415187969,10203.7828565873,2.66666666666667,60,69,84298.2944805899,53052.2105539751,84641.806836957,98156.3569314448,-2449.58457942221,-17234.5439056295,6.52678066375877,10,101456.681222266,84807.0174120258,59707.0507368861,70988.8807165777,56118.4059275171,57458.1800906373,4.99919637315011,"2010","Latin America and Caribbean","Peru","Upper middle income"
"Philippines","Philippines2009",561,22258.9011104896,11162.1123088459,28020.6090283745,19922.5989726211,3541.31898688867,4074.4188687181,0.906657353699606,64,189,48126.8247669954,22230.7654897689,58465.5181125035,41395.9031630411,11555.5918341361,-2604.67330220216,1.40356424299522,41,54819.7324827988,12131.6408668305,77342.9790105742,69792.6856066815,17395.258219742,-17911.2746485262,0.174063581850695,"2009","East Asia and Pacific","Philippines","Lower middle income"
"Poland","Poland2013",113,92117.1697195004,43584.405904719,111951.379900191,77538.3431891599,-32041.558525279,-31171.4669035192,0.8,10,21,136167.391588764,91962.615906274,150590.472053199,130673.424376086,-32484.2750867878,-30667.7255102889,0.8459113922967,4,303019.934247629,201965.717549855,301466.510407823,634529.04622969,248189.641689186,255648.637887049,5.90646357693754,"2013","Europe and Central Asia","Poland","High income"
"Romania","Romania2013",116,31231.5439048861,20410.3034439545,28133.4023077672,28492.1939767721,-450.500535327075,-91.9026288768921,0.557807230796504,9,27,51965.8210373689,31409.8769225984,51659.7729574907,54560.9592350687,-6885.27947781408,8819.29324170136,0.910679135267727,3,12551.517302645,11310.4479023708,5257.17401704326,3111.70194746378,-1925.7990774285,-2248.91860983406,0.231588668525085,"2013","Europe and Central Asia","Romania","Upper middle income"
"Russia","Russia2012",991,39987.375707775,28819.698005252,35544.8924078387,36601.3944041903,5416.74450211811,6803.39415234718,1.08174747185757,100,NA,NA,NA,NA,NA,NA,NA,NA,15,1646040.69865252,1543140.47240048,1438591.24589527,1842180.79079292,-634748.639212355,-367792.047456155,1.67267668806089,"2012","Europe and Central Asia","Russian Federation","High income"
"Senegal","Senegal2014",156,21547.2919964976,9481.66765379654,29334.9592217296,22234.5106481529,28400.6974041645,30696.8604675611,1.87624751814406,10,23,85323.6978246415,49099.1540845885,83693.0030161291,154049.212116389,21865.710426833,35836.0914103267,4.96605429842472,3,69202.566806636,23444.4349338007,95620.7522633347,168606.56984518,43347.2572662757,33815.1721974153,2.26997132092579,"2014","Sub-Saharan Africa","Senegal","Lower middle income"
"Serbia","Serbia2013",88,55971.2795942858,43996.0355748879,46640.5877364277,42236.1941518924,-3420.68994269276,-2368.40115119507,0.887512519554378,7,10,88482.9963533497,25473.2086975739,126382.429446075,99391.0440032696,35484.6235589641,-8355.35797407109,0.975657731805835,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Serbia","Upper middle income"
"Slovakia","Slovakia2013",53,87937.6158166671,51401.2551404428,91264.879481032,129126.14330153,-5527.13789507028,16244.5332403666,0.508288724991647,3,15,133219.000721469,104357.336922693,99280.3598316442,159305.243375117,11984.0461387857,24643.5240968183,0.444609172979038,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Slovak Republic","High income"
"Slovenia","Slovenia2013",59,95938.5230508553,94233.8589934719,49079.7487529234,40365.8828254336,-8831.23005000255,4316.44985443626,0.501822623445556,8,13,337949.752191214,329038.608170728,141715.431111147,197779.856886289,-72014.2267859895,-86335.5129016637,0.672422391919917,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Slovenia","High income"
"Southsudan","Southsudan2014",35,13076.6327602198,8241.2129981817,15554.1765375272,9463.86873625122,-479.440669212037,-566.753704876185,0.470588235294118,9,33,11487.396339647,7476.01380411004,11946.5272788262,9797.77227136492,1588.64948019781,1667.86622383059,1.2,6,13143.799712107,4920.52126918288,18591.9628252295,14555.6083521263,-5504.281546322,-5504.281546322,1.3,"2014","Sub-Saharan Africa","South Sudan","Low income"
"SriLanka","SriLanka2011",286,6879.19559594634,4197.66331293201,7176.31203824784,6116.17316319267,1056.72854487879,-311.420812885638,0.925081144577019,31,10,57479.4966288575,74019.8086150989,51832.111681985,105074.670714002,-42790.8811790932,-23696.6787600481,0.114228764393805,3,32889.0972636698,34749.3458805304,13881.273303108,10881.0653834299,-7537.73498963381,-10814.3374246976,0.199623210230654,"2011","South Asia","Sri Lanka","Lower middle income"
"Stkittsandnevis","Stkittsandnevis2010",19,31765.8401986261,19183.8370062836,25878.3448679681,21296.2962962963,3108.44428133519,3617.11197038271,0.333660933723543,2,5,26247.4688494452,23977.8739028669,7194.65981934533,5925.92592592593,-256.048691056734,-595.029454106369,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","St. Kitts and Nevis","High income"
"Stlucia","Stlucia2010",52,38724.3034104536,31703.3775413549,23762.3032798825,25573.1922398589,5140.18035523083,5198.09508475587,0.96551724137931,2,3,36073.248242959,38244.7665056361,18110.8433563168,37333.3333333333,3378.15809201098,3811.41528001431,7.8518513481967,2,33888.8888888889,33888.8888888889,17546.723829444,24814.8148148148,2863.24786324786,2863.24786324786,1.3,"2010","Latin America and Caribbean","St. Lucia","Upper middle income"
"Stvincentandthegrenadines","Stvincentandthegrenadines2010",40,31746.6813683155,29306.9507701054,15972.0398513196,15873.0158730158,12105.9770162701,11685.9009071894,0.639437856396751,1,6,35156.1202713193,34143.5406000686,8584.91431940775,13744.8559670782,421.218018528978,648.91763965838,5.73720015739815,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","St. Vincent and the Grenadines","Upper middle income"
"Sudan","Sudan2014",11,5765.56384427741,4709.05623808647,4923.85348461872,9566.35421322043,-2272.57359115407,-2377.31497706426,0.346589545091102,6,16,9910.31263528821,5575.79283187236,9020.2462128559,15672.4327280572,-5024.85119243231,-5630.00491369914,1.01005343449844,NA,NA,NA,NA,NA,NA,NA,NA,"2014","Sub-Saharan Africa","Sudan","Lower middle income"
"Suriname","Suriname2010",62,32969.096146176,33827.7387457715,5543.63679129848,6071.6454159077,-520.0824852947,-519.213327501789,0.532601902503708,11,2,26580.4772139208,26580.4772139208,20532.9903362625,29038.0334096181,-2639.61841144991,-2639.82121905619,0.81811910574543,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Suriname","Upper middle income"
"Sweden","Sweden2014",220,252049.503521905,230722.647151945,141156.627527828,124946.996982079,180107.220431656,99936.5633529575,2.96872685773774,18,84,541852.194473592,388780.060649485,376463.921378152,508336.543390988,348399.630839524,270639.878407503,1.98735124645922,3,401694.659332885,399164.941786752,10433.7918983321,16286.6764672201,3328.34092841147,365.450389765745,2.69489473178318,"2014","Europe and Central Asia","Sweden","High income"
"Tajikistan","Tajikistan2013",66,6250.26071223128,3196.13560462608,6991.82601637622,8809.67773090921,-512.675934488944,-208.681049535859,0.777891381900196,3,7,7414.90273539446,3193.72404318374,9158.44441714828,9657.75659206742,-4447.37540323324,-2299.97124637866,0.493250122930606,4,5140.68077475075,2753.87376715742,5497.36610921205,10861.4769789048,1526.03756695431,625.757360973569,6.37941330667435,"2013","Europe and Central Asia","Tajikistan","Lower middle income"
"Tanzania","Tanzania2013",251,4858.9491321442,2146.51603890814,6061.28407266735,5548.71430664769,2348.93693145949,2592.568452298,0.777209274097762,26,7,1425.93584648213,1393.79134895097,605.513990616502,66.7371136538382,-574.545612100654,-848.767908145857,0.236456664932427,10,6499.11739136874,1921.09467538464,10470.5985277103,2312.44098810549,2959.26310428799,528.915644758947,0.0136724362991957,"2013","Sub-Saharan Africa","Tanzania","Low income"
"Trinidadandtobago","Trinidadandtobago2010",95,39178.5469474617,31026.1955764597,25519.0835051012,25224.7386263821,5913.39822767242,8774.53591010282,1.32714698203286,7,7,32836.1566478377,33690.6089589293,7454.9163661538,5979.24583647697,-461.345907757179,759.16839075731,0.18410409446283,6,73452.052023421,53766.0395235775,65715.799248838,79221.8527312105,15604.8952951521,17130.6713795221,0.160658534412553,"2010","Latin America and Caribbean","Trinidad and Tobago","High income"
"Tunisia","Tunisia2013",253,59690.2361846622,36243.6256912678,64333.8468105269,63514.0286057374,-15548.6710683415,-9920.63820672736,0.452758968012588,18,42,28591.0678659193,24537.6511061936,24957.6942696477,25219.743129066,430.034818074803,2904.55472420375,0.660170733154136,13,70190.2558283194,57007.0981004449,66989.0184271449,83561.2274037893,49886.9675670189,24393.6632114412,0.854692382646867,"2013","Middle East and North Africa","Tunisia","Upper middle income"
"Turkey","Turkey2013",587,55002.2146253093,44945.8008676743,44795.8828788828,52935.7126531308,-16083.7426854381,-529.708525256624,0.542857142857143,53,31,149456.973997295,29679.5415320832,218334.554206474,474944.635224056,-106816.23707471,-10992.444190371,0.094772979402924,13,117702.180970072,123243.254203256,125221.5811498,118026.855548177,-15278.4165669202,-17021.8518374171,10.5928076441106,"2013","Europe and Central Asia","Turkey","Upper middle income"
"Uganda","Uganda2013",181,3184.35318090651,1898.1461096517,3867.93063038935,3564.29658367929,8586.43733919955,11176.7430344994,1.125,35,54,44852.5484264065,13208.0234560061,65402.0778942943,91490.6424852117,-7890.6079582146,-9896.81289893672,0.910287779643248,5,82353.2712349951,65233.9281789641,89676.0332076603,163743.571618242,-15768.641786696,-12033.9072881774,0.531703851095949,"2013","Sub-Saharan Africa","Uganda","Low income"
"Ukraine","Ukraine2013",489,10928.3910971224,7805.51478319203,8967.49696895364,7346.7548667571,39.0650816912562,-844.931452188298,1.11855969362607,50,31,6699.86389104802,7179.26226088546,5036.29997801185,4994.250683701,-2451.73229339688,-3742.4419902991,0.0349687104490115,2,3804.16722940552,3804.16722940552,351.411487170311,496.970891129952,176.096217323783,156.453799059429,2.09267505233012,"2013","Europe and Central Asia","Ukraine","Lower middle income"
"Uruguay","Uruguay2010",248,43703.1128396813,32908.4557841453,34251.1242294093,32051.3057214535,9065.47564948024,10691.7722719159,1,46,NA,NA,NA,NA,NA,NA,NA,NA,3,61412.1524513957,72802.8691165925,40454.662837904,71435.341473805,-16557.1411648259,-16151.3488175104,0.523184924457215,"2010","Latin America and Caribbean","Uruguay","High income"
"Uzbekistan","Uzbekistan2013",59,8186.68054509922,8291.69397046705,7337.79986874733,8259.14110264109,3089.25216824948,2769.07037367587,0.961052026758107,26,40,25157.7243436065,15029.529754903,20819.4608998108,19960.7910834626,32.908458425597,-4573.77484576955,0.224877354030075,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Uzbekistan","Lower middle income"
"Venezuela","Venezuela2010",51,156716.33732304,83550.7903991409,192030.099442645,131226.637048715,74399.9945816864,130464.177062026,1.18724913177791,8,9,583981.999705634,291458.162804719,551485.529146151,567256.521132719,54912.3457417504,145547.521886313,0.22744810723193,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Venezuela, RB","High income"
"Vietnam","Vietnam2009",558,28588.8735320114,17686.3140856927,30957.4891096728,28998.7259946102,-8149.35246727476,-3741.84264065781,1.56581449166596,30,140,44294.472976521,35728.8726087109,38922.7649259323,49768.8794861812,-13695.3358978334,-5221.96707098741,0.406848331623518,26,27174.8739382845,17765.6580045029,27417.938460953,22380.5395950281,-17877.4776035156,-12704.3258395697,0.333378942694951,"2009","East Asia and Pacific","Vietnam","Lower middle income"
"West Bank And Gaza","West Bank And Gaza2013",123,41431.599225086,23845.914198231,47575.2534262858,34704.3109776166,-1923.57485849963,4921.16984119477,1.5,14,6,59719.5650198603,26111.9928518695,67481.5536941517,97736.6384757183,15181.788448387,-12005.5448175694,1.02681089385347,2,40390.4792546179,40390.4792546179,30059.5848650472,42510.6725954548,5593.50955203352,5593.50955203352,1.35714285714286,"2013",NA,NA,NA
"Yemen","Yemen2013",86,10969.0753776374,8871.48715619703,8056.23396151306,10719.7136470714,5515.65009243951,6566.66389194007,1.06158560799589,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Middle East and North Africa","Yemen, Rep.","Lower middle income"
"Zambia","Zambia2013",210,7915942.9348026,5596843.04823817,7293963.01414459,6721789.63170584,5188628.38888147,5295482.20646397,0.993226432850081,27,79,20125416.0296878,12853799.1466028,21380759.3915149,24347656.61136,5001394.74436167,4549143.13354509,1.03229254204791,10,13380412.9121534,9235306.44183005,14951414.3855471,8004573.91256574,3228603.02119559,4465306.86908052,1.45347972977177,"2013","Sub-Saharan Africa","Zambia","Lower middle income"
